"group","event_category","Mean","Median","SD","ETI 2.5%","ETI 97.5%","HDI 2.5%","HDI 97.5%"
"2","Daily Routines and Household Activities",4.98141977626425,5.12566644426328,0.717738572605376,3.28386222389345,5.9711190441957,3.70565807669797,5.98546965204808
"2","Leisure and Recreation",5.1189730530236,5.32090503385228,0.74769892642667,3.34862887908884,6.0768850032414,3.7843023710435,6.1178396970215
"2","Social and Personal Relationships",5.02849136989288,5.24695354336706,0.724846342580791,3.04758828639395,5.88398055157439,3.94829074944611,5.93400568903231
"2","Work and Professional Engagements",4.69858934451354,4.96247628041647,0.80724153251368,2.74722978767706,5.71295760071518,2.98269502920551,5.72259671702879
"2","Health and Well-being",4.2845761191672,4.44069413398426,0.621603964590337,2.72823348447013,5.14069656945632,3.28590811245181,5.26976832465882
"2","Indeterminate",4.87411926750935,4.9987560134668,0.720951545721837,3.0312018118004,5.81163831238052,3.7043779659477,5.88785812479275
"1","Daily Routines and Household Activities",2.84575405653469,2.86099606814919,0.926055924545625,0.946477157815196,4.92747145610263,1.02170643574061,4.93282071798162
"1","Leisure and Recreation",2.95371608487148,3.06968002619308,0.971485301695453,0.82399022057484,5.00835073851468,0.677356279664628,4.60997319498263
"1","Social and Personal Relationships",2.52629645800136,2.53571165204435,1.02582750800205,0.449981447237094,4.63374545013188,0.696470606112518,4.76143475910773
"1","Work and Professional Engagements",2.44476201009551,2.59791455939049,1.02157538981095,0.310504771066237,4.49701859131093,0.302816233581676,4.22262759048766
"1","Health and Well-being",1.7355060722357,1.84343028768907,1.03795740542761,-0.064630271109274,3.78554213808135,-0.0766633912111069,3.44913868260114
"1","Indeterminate",2.7880797768831,2.9891374454019,1.08125269774839,0.740876355674022,4.60525920186845,0.746176506779735,4.60866142889909
