"Parameter","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","NA","NA","NA","NA","NA","NA","NA"
"event_categoryHealthandWellMbeing",-0.284007013171457,0.0746981882720288,-0.433170614714189,-0.139875728955237,1.00009522034134,8005.33409693968,8390.31584059758,NA,NA,NA,NA,NA,NA,NA
"event_categoryIndeterminate",-0.191570370794097,0.061767246989232,-0.311359954645065,-0.0696603362111272,1.00014216759623,7953.96545259982,8822.77821627411,NA,NA,NA,NA,NA,NA,NA
"event_categoryLeisureandRecreation",-0.0195305645744171,0.0416778671731285,-0.100993268034506,0.0627160370805601,1.00018504054918,7493.27050649076,8412.27525997791,NA,NA,NA,NA,NA,NA,NA
"event_categorySocialandPersonalRelationships",-0.116695303441418,0.0448465552811838,-0.202349961614414,-0.0283866210716645,1.00016297041781,6069.54711075738,7565.30120735613,NA,NA,NA,NA,NA,NA,NA
"event_categoryWorkandProfessionalEngagements",-0.150531361947058,0.0493761117915445,-0.249121618909334,-0.0543437359904693,0.999930896473397,7409.88200543569,8290.64816094543,NA,NA,NA,NA,NA,NA,NA
"event_sentimentnegative",-0.548266078122381,0.0886899368364577,-0.722491136556523,-0.372656756197748,1.00021546953177,4834.81308807367,7346.65056023444,NA,NA,NA,NA,NA,NA,NA
"event_sentimentnegative:group1",-0.715070954859051,0.110443966851838,-0.937050876880457,-0.499657133583697,1.0004667351898,4941.31933687915,7706.70884858651,NA,NA,NA,NA,NA,NA,NA
"event_sentimentnone",0.060020599475289,0.336319358746359,-0.610471007109043,0.728439753353819,1.00136983068558,4522.68176513538,6343.25899458792,NA,NA,NA,NA,NA,NA,NA
"event_sentimentnone:group1",-0.531390004819353,0.368094045639506,-1.2641067888024,0.194974770058569,1.00147725085348,4455.83964153982,6118.56924183649,NA,NA,NA,NA,NA,NA,NA
"event_sentimentpositive",0.116031834066397,0.0460565890943477,0.0255141349198,0.206081041693591,1.00021944240947,5580.65276713019,7620.0779933688,NA,NA,NA,NA,NA,NA,NA
"event_sentimentpositive:group1",0.468567339746009,0.0691827744181796,0.3324338439465,0.604209928782205,1.00006855011036,6109.27152220856,7741.21519813811,NA,NA,NA,NA,NA,NA,NA
"group1",-4.29266638446401,0.191417678953107,-4.66582298666264,-3.91109674867479,1.00969829709712,338.146135740832,788.871345292776,NA,NA,NA,NA,NA,NA,NA
"Intercept",8.33447811551527,0.13568087216718,8.05635817021268,8.58828905595998,1.02052133159783,217.826191122084,594.816584630983,NA,NA,NA,NA,NA,NA,NA
"sigma",NA,NA,NA,NA,NA,NA,NA,1.18529772139166,0.0100105960271654,1.16599080616903,1.20484376722561,1.00010613872145,11815.7316844455,9468.02123486037
