"Coefficient","Mean","CI_Lower","CI_Upper"
"(Intercept)",4.94091457938459,4.838094679611,5.04310858448501
"event_categoryLeisure and Recreation",0.0866219057680421,0.0224208091029624,0.148671005775482
"event_categorySocial and Personal Relationships",-0.0386237803127133,-0.124240142961422,0.0430041170383437
"event_categoryWork and Professional Engagements",-0.302445277518738,-0.39390750393616,-0.21452655663998
"event_categoryHealth and Well-being",-0.621012551987973,-0.913747991686473,-0.335632825466783
"event_categoryIndeterminate",-0.0497827753323284,-0.169078100335332,0.0622003724081866
"groupBPD",-2.0076939414803,-2.17955764958055,-1.83612015445338
"event_categoryLeisure and Recreation:groupBPD",0.0324991292138261,-0.154063628103734,0.211068106251221
"event_categorySocial and Personal Relationships:groupBPD",-0.263982131551407,-0.421751880044992,-0.104168292434195
"event_categoryWork and Professional Engagements:groupBPD",-0.103187194189199,-0.373348517239251,0.171948664834077
"event_categoryHealth and Well-being:groupBPD",-0.163417903270136,-0.487277784896847,0.17297979040443
"event_categoryIndeterminate:groupBPD",-0.0921240547403717,-0.304865123311353,0.123057851769997
