"term";"b_lmer";"SE_lmer";"t_lmer";"df_lmer";"p_lmer";"b_best";"SE_best";"t_best";"df_best";"p_best";"sig_lmer";"sig_best";"sig_changed";"sign_changed";"delta_b";"delta_SE"
"(Intercept)";8,18266995599586;0,159778399027441;51,2126170108299;270,586055391226;3,00424043980205e-141;8,16190607099934;0,159664578844733;51,1190780701362;10363;0;TRUE;TRUE;FALSE;FALSE;-0,020763884996521;-0,000113820182707058
"event_categoryLeisure and Recreation";-0,105564542740606;0,0374495762270309;-2,81884478747213;10396,0028274719;0,00482879093551382;-0,0606019865498807;0,0344389654718791;-1,7596924216369;10363;0,0784894731657251;TRUE;FALSE;TRUE;FALSE;0,0449625561907257;-0,00301061075515179
"event_categorySocial and Personal Relationships";-0,277717265704877;0,0376457843352808;-7,37711461212953;10409,8110065637;1,74088088585848e-13;-0,210978932228723;0,034210242235051;-6,16712769173434;10363;7,21356684085671e-10;TRUE;TRUE;FALSE;FALSE;0,0667383334761538;-0,00343554210022974
"event_categoryWork and Professional Engagements";-0,106604431541657;0,0452796767256094;-2,3543549612262;10421,1851106838;0,0185733348772262;-0,0911844753028354;0,0436264209622304;-2,09012046580164;10363;0,0366312920210294;TRUE;TRUE;FALSE;FALSE;0,0154199562388215;-0,00165325576337904
"event_categoryHealth and Well-being";-0,503539495568924;0,062484830138061;-8,05858789175464;10412,3800240323;8,56334921543303e-16;-0,429265694044695;0,0586294061419582;-7,3216790394452;10363;2,63076532111886e-13;TRUE;TRUE;FALSE;FALSE;0,074273801524229;-0,00385542399610287
"event_categoryIndeterminate";-0,203697119750904;0,0565337175645334;-3,60310852578169;10475,1887105264;0,000315891447998477;-0,127027203686964;0,0508371904765304;-2,49870621283856;10363;0,0124801200269384;TRUE;TRUE;FALSE;FALSE;0,0766699160639407;-0,00569652708800298
"groupBPD";-3,95018829175117;0,182988700660118;-21,5870612638986;264,593906117136;2,69888737760428e-60;-3,96042966423755;0,182990545906959;-21,6428102589038;261;3,48451772866328e-60;TRUE;TRUE;FALSE;FALSE;-0,0102413724863819;1,84524684099241e-06
"sentiment_mean";0,612088517454063;0,455142563585661;1,34482811853931;265,533520961131;0,179828291926316;0,589458157232533;0,455114430995145;1,29518669830714;261;0,196400284714821;FALSE;FALSE;FALSE;FALSE;-0,0226303602215296;-2,8132590515817e-05
"sentiment_within";0,231545650440084;0,0353356796352168;6,5527436526031;10372,1382387243;5,91700693095603e-11;0,186298709090377;0,0322479175818662;5,77707719009855;10363;7,81991839219979e-09;TRUE;TRUE;FALSE;FALSE;-0,0452469413497068;-0,00308776205335068
"groupBPD:sentiment_within";0,686755615618536;0,0460292143617039;14,9199942936657;10371,495188891;8,01601811251417e-50;0,62143889841963;0,0419927181986203;14,7987299960032;10363;4,72115393285681e-49;TRUE;TRUE;FALSE;FALSE;-0,065316717198906;-0,00403649616308365
