"Model";"R2_Marginal";"R2_Conditional"
"M1_self_esteem";0,540699933664766;0,772957365212624
"M1_valence";0,389598946245754;0,596696936563476
"M1_calmness";0,365230844668036;0,587708939978443
"M2_self_esteem";0,557117656691054;0,788559395294597
"M2_valence";0,428474341333246;0,625689676496314
"M2_calmness";0,393109511129053;0,606453079234207
"M3_self_esteem";0,549547236168279;0,780921587035054
"M3_valence";0,407667787973268;0,61318418253938
"M3_calmness";0,37898022453803;0,599321939403347
"M1B_self_esteem_BPD";0,182149149587505;0,519859347216974
"M1B_valence_BPD";0,103925276293305;0,330863703102583
"M1B_calmness_BPD";0,106677015015211;0,332048096983876
"M2B_self_esteem_BPD";0,218293202151823;0,556298393896668
"M2B_valence_BPD";0,163079631183458;0,383658574252601
"M2B_calmness_BPD";0,150903705739294;0,370004858383194
"M1_self_esteem_COV";0,558447792891221;0,773009508334134
"M1_valence_COV";0,403574452759863;0,595452813851419
"M1_calmness_COV";0,376097214987135;0,58545547914226
"M2_self_esteem_COV";0,576628403398565;0,788861993198948
"M2_valence_COV";0,444304958464082;0,624495255168295
"M2_calmness_COV";0,403119046386814;0,602993491389629
